date,employees
1/3/2020,20156
1/4/2020,0
1/5/2020,0
1/6/2020,25035
1/7/2020,25334
1/8/2020,25841
1/9/2020,25793
1/10/2020,23365
1/11/2020,0
1/12/2020,0
1/13/2020,24290
1/14/2020,24687
1/15/2020,24434
1/16/2020,24353
1/17/2020,22513
1/18/2020,0
1/19/2020,0
1/20/2020,14608
1/21/2020,26444
1/22/2020,26405
1/23/2020,26200
1/24/2020,24045
1/25/2020,0
1/26/2020,0
1/27/2020,25089
1/28/2020,25821
1/29/2020,25773
1/30/2020,24299
1/31/2020,22747
2/1/2020,0
2/2/2020,0
2/3/2020,23733
2/4/2020,25075
2/5/2020,25303
2/6/2020,25484
2/7/2020,20762
2/8/2020,0
2/9/2020,0
2/10/2020,24870
2/11/2020,25299
2/12/2020,24731
2/13/2020,24999
2/14/2020,21450
2/15/2020,0
2/16/2020,0
2/17/2020,14978
2/18/2020,24213
2/19/2020,26285
2/20/2020,25222
2/21/2020,22473
2/22/2020,0
2/23/2020,0
2/24/2020,24296
2/25/2020,25342
2/26/2020,24908
2/27/2020,24024
2/28/2020,23149
2/29/2020,0
3/1/2020,0
3/2/2020,24155
3/3/2020,25155
3/4/2020,25622
3/5/2020,24775
3/6/2020,22961
3/7/2020,0
3/8/2020,0
3/9/2020,23363
3/10/2020,23593
3/11/2020,23428
3/12/2020,23386
3/13/2020,19821
3/14/2020,0
3/15/2020,0
3/16/2020,17402
3/17/2020,16778
3/18/2020,16125
3/19/2020,15429
3/20/2020,13620
3/21/2020,0
3/22/2020,0
3/23/2020,14128
3/24/2020,13440
3/25/2020,13033
3/26/2020,12744
3/27/2020,12059
3/28/2020,0
3/29/2020,0
3/30/2020,11913
3/31/2020,12048
4/1/2020,12533
4/2/2020,12441
4/3/2020,12189
4/4/2020,0
4/5/2020,0
4/6/2020,11686
4/7/2020,11610
4/8/2020,11381
4/9/2020,11540
4/10/2020,10540
4/11/2020,0
4/12/2020,0
4/13/2020,11194
4/14/2020,11368
4/15/2020,11756
4/16/2020,11451
4/17/2020,11367
4/18/2020,0
4/19/2020,0
4/20/2020,11382
4/21/2020,11933
4/22/2020,11777
4/23/2020,11386
4/24/2020,11189
4/25/2020,0
4/26/2020,0
4/27/2020,11195
4/28/2020,11760
4/29/2020,12143
4/30/2020,11815
5/1/2020,11541
5/2/2020,0
5/3/2020,0
5/4/2020,12540
5/5/2020,12755
5/6/2020,12756
5/7/2020,12473
5/8/2020,11749
5/9/2020,0
5/10/2020,0
5/11/2020,12075
5/12/2020,11895
5/13/2020,12202
5/14/2020,11828
5/15/2020,12033
5/16/2020,0
5/17/2020,0
5/18/2020,12245
5/19/2020,12214
5/20/2020,12503
5/21/2020,12300
5/22/2020,11288
5/23/2020,0
5/24/2020,0
5/25/2020,7514
5/26/2020,11607
5/27/2020,11958
5/28/2020,12375
5/29/2020,11042
5/30/2020,0
5/31/2020,0
6/1/2020,12720
6/2/2020,12872
6/3/2020,12104
6/4/2020,12639
6/5/2020,11579
6/6/2020,0
6/7/2020,0
6/8/2020,12273
6/9/2020,12835
6/10/2020,13027
6/11/2020,12841
6/12/2020,11696
6/13/2020,0
6/14/2020,0
6/15/2020,12877
6/16/2020,12829
6/17/2020,13194
6/18/2020,11904
6/19/2020,11275
6/20/2020,0
6/21/2020,0
6/22/2020,11718
6/23/2020,12431
6/24/2020,12381
6/25/2020,12194
6/26/2020,11787
6/27/2020,0
6/28/2020,0
6/29/2020,12457
6/30/2020,12771
7/1/2020,12822
7/2/2020,12183
7/3/2020,8377
7/4/2020,0
7/5/2020,0
7/6/2020,12865
7/7/2020,12675
7/8/2020,13057
7/9/2020,12950
7/10/2020,11615
7/11/2020,0
7/12/2020,0
7/13/2020,13099
7/14/2020,12765
7/15/2020,13558
7/16/2020,12549
7/17/2020,12320
7/18/2020,0
7/19/2020,0
7/20/2020,12516
7/21/2020,12981
7/22/2020,12913
7/23/2020,12632
7/24/2020,11991
7/25/2020,0
7/26/2020,0
7/27/2020,11669
7/28/2020,12415
7/29/2020,12534
7/30/2020,11998
7/31/2020,11280
8/1/2020,0
8/2/2020,0
8/3/2020,11484
8/4/2020,12345
8/5/2020,12094
8/6/2020,11811
8/7/2020,10271
8/8/2020,0
8/9/2020,0
8/10/2020,11768
8/11/2020,12286
8/12/2020,11879
8/13/2020,11372
8/14/2020,10408
8/15/2020,0
8/16/2020,0
8/17/2020,11888
8/18/2020,12024
8/19/2020,12644
8/20/2020,13267
8/21/2020,12731
8/22/2020,0
8/23/2020,0
8/24/2020,12082
8/25/2020,13048
8/26/2020,13734
8/27/2020,12964
8/28/2020,13801
8/29/2020,0
8/30/2020,0
8/31/2020,13280
9/1/2020,13376
9/2/2020,13424
9/3/2020,13252
9/4/2020,12255
9/5/2020,0
9/6/2020,0
9/7/2020,6605
9/8/2020,13136
9/9/2020,12841
9/10/2020,12220
9/11/2020,12474
9/12/2020,0
9/13/2020,0
9/14/2020,12362
9/15/2020,12952
9/16/2020,12827
9/17/2020,12707
9/18/2020,12504
9/19/2020,0
9/20/2020,0
9/21/2020,13220
9/22/2020,13038
9/23/2020,13369
9/24/2020,12975
9/25/2020,12181
9/26/2020,0
9/27/2020,0
9/28/2020,12296
9/29/2020,13290
9/30/2020,13232
10/1/2020,13870
10/2/2020,12264
10/3/2020,0
10/4/2020,0
10/5/2020,12444
10/6/2020,12511
10/7/2020,12535
10/8/2020,12960
10/9/2020,11207
10/10/2020,0
10/11/2020,0
10/12/2020,11095
10/13/2020,12969
10/14/2020,12646
10/15/2020,13075
10/16/2020,11854
10/17/2020,0
10/18/2020,0
10/19/2020,12440
10/20/2020,13078
10/21/2020,12941
10/22/2020,12242
10/23/2020,11740
10/24/2020,0
10/25/2020,0
10/26/2020,12254
